HELI_IDENT	SEQ_NBR	LENGTH	WIDTH	SURFACE	AC_TYPE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	LGT_SYS_1	LGT_SYS_2	LGT_SYS_3	HIGH_IDENT	HIGH_HDG	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	LOW_IDENT	LOW_HDG	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	HIGH_TRUE	LOW_TRUE	CLD_RWY	PAD_ID	CYCLE_DATE
KS99953	54	00065	00065	CON	UH1		36.362031		127.382600							36.362031		127.382600	190.0	U							36.362031		127.382600										200211
KS99956	50	00120	00100	GRE	CH47		35.663331		126.603300							35.663331		126.603300	1500.0	U							35.663331		126.603300										200411
KS99957	50	00100	00060	CON	CH47		35.973331		126.808300	53						35.973331		126.808300	502.0	U							35.973331		126.808300										200409
KS99959	50	00087	00087	PSP	OH58		35.191670		129.146700							35.191670		129.146700	2200.0	U							35.191670		129.146700										200205
KS99960	50	00100	00050	ASP	CH47		35.423333		128.994444							35.423333		128.994444	2200.0	U							35.423333		128.994444										200409
KS99961	50	00100	00090	ASP	CH47		35.738331		128.693300							35.738331		128.693300	1900.0	U							35.738331		128.693300										200209
KS99963	50	00050	00050	GVL	UH1		38.065556		127.253611							38.065556		127.253611	1650.0	U							38.065556		127.253611										200411
KS99964	1	00200	00100	ASP	CH47		35.163334		129.058330	55			36			35.163334		129.058330	U	U							35.163334		129.058330									36	200209
KS99965	50	00100	00100	PSP	CH47		35.246669		128.633300							35.246669		128.633300	101.0	U							35.246669		128.633300										200209
KS99966	50	00100	00040	ASP	CH47		35.990000		128.416700							35.990000		128.416700	200.0	U							35.990000		128.416700										200209
KS99967	50	00070	00070	CON	CH47		35.748611		128.317500							35.748611		128.317500	2000.0	U							35.748611		128.317500										200409
KS99968	1	00100	00050	CON			35.778332		126.933330	55						35.778332		126.933330	100.0	U							35.778332		126.933330										200211
KS99969	50	00100	00100	PSP	CH47		35.901670		126.683300							35.901670		126.683300	270.0	U							35.901670		126.683300										200205
KS99971	50	00100	00070	PSP	CH47		34.988330		127.873300							34.988330		127.873300	2800.0	U							34.988330		127.873300										200211
KS99973	50	00030	00030	GRE	CH47		35.051670		126.701700							35.051670		126.701700	1220.0	U							35.051670		126.701700										200205
KS99975	50	00100	00100	GRE	CH47		35.858330		127.121700							35.858330		127.121700	90.0	U							35.858330		127.121700										200211
KS99977	50	00100	00076	BRI	CH47		35.123330		127.021700							35.123330		127.021700	3340.0	U							35.123330		127.021700										200211
KS99978	50	00240	00240	BRI	CH47		35.244856		126.602506							35.244856		126.602506	250.0	U							35.244856		126.602506										200211
