ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE
GM70181	GUTERSLOH		ETUO	N	WGE	WGE	N51552220	51.922833	E008182280	8.306333	00236	C	E000286 0105	0231	Y		RA					200506
GM70716	FRANKFURT HAHN		EDFH	N	WGE	WGE	N49565522	49.948672	E007155001	7.263892	01649	A	E000157 0105	0231	Y		CI					200504
GM70931	SCHONEFELD		EDDB	N	WGE	WGE	N52224800	52.380000	E013312100	13.522500	00157	A	E002057 0105	0169	Y		CI					200507
GM71150	GIEBELSTADT AAF		ETEU	N	WGE	WGE	N49385327	49.648131	E009575938	9.966494	00980	C	E001043 0105	0231	Y		AA					200503
GM72275	HAMBURG		EDDH	N	WGE	WGE	N53374940	53.630389	E009591762	9.988228	00053	A	E000574 0105	0170	Y		CI					200410
GM73322	COLEMAN AAF		ETOR	N	WGE	WGE	N49334885	49.563569	E008274821	8.463392	00309	C	E000385 0105	0231	Y		AA					200503
GM74054	SCHWERIN PARCHIM		EDOP	N	WGE	WGE	N53253719	53.426997	E011470037	11.783436	00166	A	E001334 0105	0170	Y		CI					200507
GM74569	DONAUESCHINGEN VILLINGEN		EDTD	N	WGE	WGE	N47582399	47.973331	E008312000	8.522222	02231	A	E000463 0605	0253	Y		CI					200508
GM74729	FRIEDRICHSHAFEN		EDNY	N	WGE	WGE	N47401674	47.671317	E009304135	9.511486	01367	A	E000598 0105	0253	Y		CI					200506
GM74879	CELLE		ETHC	N	WGE	WGE	N52352832	52.591200	E010011968	10.022133	00129	C	E001028 0505	0170	Y		GM					200506
GM77325	BARTH		EDBH	N	WGE	WGE	N54201743	54.338175	E012423638	12.710106	00023	D	E001517 0105	0169	Y		CI					200507
GM78149	DORTMUND		EDLW	N	WGE	WGE	N51310593	51.518314	E007364407	7.612242	00424	D	E000166 0105	0231	Y		CI					200410
GM78703	AUGSBURG		EDMA	N	WGE	WGE	N48253057	48.425158	E010555435	10.931764	01515	A	E001216 0105	0231	Y		CI					200506
GM79566	HOHN		ETNH	N	WGE	WGE	N54184380	54.312167	E009321740	9.538167	00039	C	E000466 0105	0170	Y		GF					200412
GM81365	INGOLSTADT MANCHING		ETSI	N	WGE	WGE	N48425640	48.715667	E011320240	11.534000	01202	B	E001310 0105	0231	Y		GF					200507
GM84511	EISENACH KINDEL		EDGE	N	WGE	WGE	N50593407	50.992797	E010282176	10.472711	01101	D	E001112 0105	0231	Y		CI					200507
GM84865	LAAGE		ETNL	N	WGE	WGE	N53550540	53.918167	E012164200	12.278333	00138	B	E001430 0105	0169	Y		GF					200507
GM85373	SPREMBERG WELZOW		EDCY	N	WGE	WGE	N51343720	51.577000	E014081320	14.137000	00375	D	E002155 0105	0231	Y		CI					200405
GM85555	JEVER		ETNJ	N	WGE	WGE	N53320060	53.533500	E007531920	7.888667	00024	C	E000145 0105	0170	Y		GF					200410
GM86175	BORKUM		EDWR	N	WGE	WGE	N53354380	53.595500	E006423300	6.709167	00003	D	W000108 0105	0170	Y		CI					200507
GM87318	NURNBERG		EDDN	N	WGE	WGE	N49295512	49.498644	E011044118	11.078106	01046	A	E001232 0105	0231	Y		CI					200508
GM88612	WUNSTORF		ETNW	N	WGE	WGE	N52272640	52.457333	E009253780	9.427167	00187	C	E000489 0105	0170	Y		GF					200412
GM88683	EMDEN		EDWE	N	WGE	WGE	N53232827	53.391186	E007133867	7.227408	00002	D	E000012 0105	0170	Y		CI					200507
GM89268	BADEN OOS		EDTB	N	WGE	WGE	N48472860	48.791278	E008111370	8.187139	00405	D	E000360 0105	0231			PV					200502
GM89919	DIEPHOLZ		ETND	N	WGE	WGE	N52350785	52.585514	E008202765	8.341014	00127	B	E000297 0505	0170	Y		ML					200502
GM90263	BITBURG		EDRB	N	WGE	WGE	N49564320	49.945333	E006335400	6.565000	01223	D	E000028 0105	0230			CI					200506
GM90575	FREIBURG		EDTF	N	WGE	WGE	N48012155	48.022653	E007495730	7.832583	00799	A	E000317 0105	0231	Y		CI					200507
GM90728	NORDHOLZ		ETMN	N	WGE	WGE	N53460360	53.767667	E008393060	8.658500	00074	B	E000297 0105	0170	Y		GN					200506
GM90871	VILSHOFEN		EDMV	N	WGE	WGE	N48380660	48.635167	E013114440	13.195667	00991	A	E001568 0105	0231	Y		CI					200413
GM90966	SPANGDAHLEM AB		ETAD	N	WGE	WGE	N49582160	49.972667	E006413300	6.692500	01197	C	E000050 0105	0230	Y		AF					200407
GM95168	STRAUBING		EDMS	N	WGE	WGE	N48540342	48.900950	E012310547	12.518186	01054	A	E001465 0105	0231	Y		CI					200313
GM97074	MENDIG		ETHM	N	WGE	WGE	N50215700	50.365833	E007185460	7.315167	00597	C	E000152 0105	0231	Y		GM					200404
GM98618	VILSECK AAF		ETOI	N	WGE	WGE	N49380100	49.633611	E011460200	11.767222	01353	D	E001345 0105	0231			AA					200502
GM98628	HASSFURT SCHWEINFURT		EDQT	N	WGE	WGE	N50010480	50.018000	E010314620	10.529500	00718	D	E001135 0105	0231	Y		CI					200503
GM98946	WITTMUNDHAFEN		ETNT	N	WGE	WGE	N53325220	53.547833	E007400240	7.667333	00026	C	E000098 0105	0170	Y		GF					200507
GM99143	MANNHEIM CITY		EDFM	N	WGE	WGE	N49282100	49.472500	E008305640	8.515667	00309	A	E000396 0105	0231	Y		CI					200412
GM99802	PEENEMUNDE		EDCP	N	WGE	WGE	N54092820	54.157833	E013462160	13.772667	00007	D	E002126 0105	0169			PV					200505
GM99804	BRANDENBURG BRIEST		EDUB	N	WGE	WGE	N52261860	52.438500	E012273000	12.458333	00103	D	E001464 0105	0169			PV					200506
GM99810	ANKLAM		EDCA	N	WGE	WGE	N53495772	53.832700	E013400887	13.669131	00018	D	E002102 0105	0169	Y		CI					200502
GM99811	SCHONHAGEN		EDAZ	N	WGE	WGE	N52121173	52.203258	E013093027	13.158408	00131	D	E001590 0105	0169	Y		CI					200507
GM99818	KYRITZ		EDBK	N	WGE	WGE	N52550780	52.918833	E012253120	12.425333	00130	A	E001458 0105	0169	Y		CI					200503
GM99827	EISENHUTTENSTADT		EDAE	N	WGE	WGE	N52115040	52.197333	E014350840	14.585667	00149	D	E002244 0105	0169	Y		CI					200508
GM99841	FLENSBURG SCHAFERHAUS		EDXF	N	WGE	WGE	N54461838	54.771772	E009224157	9.378214	00130	D	E000419 0105	0170	Y		CI					200409
GM99842	HILDESHEIM		EDVM	N	WGE	WGE	N52104740	52.179833	E009564440	9.945667	00293	D	E000595 0105	0170			PV					200508
GM99848	MAGDEBURG		EDBM	N	WGE	WGE	N52042517	52.073658	E011373528	11.626467	00268	A	E001311 0105	0170	Y		CI					200504
GM99857	HUSUM SCHWESING		EDXJ	N	WGE	WGE	N54303600	54.510000	E009081800	9.138333	00062	D	E000375 0105	0170	Y		CI					200508
GM99870	RHEINE BENTLAGE		ETHE	N	WGE	WGE	N52172820	52.291167	E007231320	7.387000	00129	C	E000091 0105	0170	Y		GM					200508
GM99913	LEER PAPENBURG		EDWF	N	WGE	WGE	N53161773	53.271592	E007263244	7.442344	00003	D	E000062 0105	0170	Y		CI					200503
GM99983	SCHWABISCH HALL		EDTY	N	WGE	WGE	N49070594	49.118317	E009470224	9.783956	01311	A	E001021 0105	0231	Y		CI					200506
GM99987	DESSAU		EDAD	N	WGE	WGE	N51495458	51.831828	E012110252	12.184033	00187	D	E001413 0105	0231	Y		CI					200413
GM99988	COTTBUS DREWITZ		EDCD	N	WGE	WGE	N51532211	51.889475	E014315515	14.531986	00274	A	E002229 0105	0231	Y		CI					200507
