Iserlohn Sümmern		122.425				509 ft 					51,44  	7,70  	51	26	12	7	41	59
Isny Rotmoos		123.500				2.247 ft 					47,70  	10,02  	47	42	3	10	1	18
Ithwiesen		123.375	122.300			1.214 ft 					51,95  	9,66  	51	57	8	9	39	41
Johannisau		122.300				820 ft 					50,53  	9,66  	50	31	56	9	39	26
Kamen Heeren		129.975				203 ft 					51,59  	7,71  	51	35	23	7	42	32
Kammermark		123.500				289 ft 					53,20  	12,17  	53	11	42	12	9	55
Karlstadt Saupurz		123.475	123.500			801 ft 					49,97  	9,79  	49	58	16	9	47	26
Kaufbeuren		122.100				2.352 ft 					47,86  	10,61  	47	51	44	10	36	53
Kell		123.150				1.837 ft 					49,62  	6,84  	49	37	24	6	50	24
Kirchheim, Teck		123.250				1.155 ft 					48,63  	9,43  	48	37	55	9	25	55
Kirchzarten		122.475				1.342 ft 					47,95  	7,96  	47	57	6	7	57	21
Kirn		122.300	123.370			1.427 ft 					49,78  	7,51  	49	47	0	7	30	50
Klein Gartz		122.200				112 ft 					52,83  	11,32  	52	49	45	11	19	10
Kleve Wisseler Du		123.500				59 ft 					51,77  	6,30  	51	45	58	6	17	57
Klippeneck		122.175				3.117 ft 					48,11  	8,76  	48	6	27	8	45	46
Königsdorf		118.275				1.972 ft 					47,83  	11,46  	47	49	49	11	27	44
Konz Könen		123.350				705 ft 					49,68  	6,54  	49	40	40	6	32	38
Kreuzbruch		122.200				0 ft 					52,82  	13,43  	52	49	16	13	25	35
Kronach Kreuzberg		123.350	123.500			1.486 ft 					50,24  	11,36  	50	14	37	11	21	34
Kusel Langenbach		123.350				1.476 ft 					49,48  	7,31  	49	28	45	7	18	37
Landau  Ebenberg		123.375				525 ft 					49,18  	8,14  	49	10	39	8	8	9
Landsberg, Lech		129.850				2.034 ft 					48,07  	10,91  	48	4	14	10	54	22
Langenberg Hatten		123.500				1.148 ft 					50,80  	9,56  	50	47	52	9	33	45
Langenfeld Wiesch		122.475				282 ft 					51,14  	6,99  	51	8	28	6	59	7
Langenselbold		129.975				394 ft 					50,18  	9,06  	50	10	30	9	3	36
Laufenselden		122.475				1.312 ft 					50,23  	8,00  	50	13	32	7	59	57
Leibertingen		129.975				2.723 ft 					48,04  	9,03  	48	2	38	9	1	49
Leuzendorf		123.500				1.512 ft 					49,35  	10,08  	49	21	7	10	4	31
Lindlar		123.500				1.020 ft 					50,99  	7,37  	50	59	40	7	22	20
Löchgau		123.475				873 ft 					49,00  	9,08  	49	0	4	9	4	57
Ludwigshafen  Dan		130.125				315 ft 					49,41  	8,35  	49	24	42	8	20	54
Lüneburg		122.175				161 ft 	25. Jul	980 m 	30 m 	G	53,25  	10,46  	53	14	50	10	27	46
Lünen Lippeweidn		123.500				161 ft 					51,62  	7,50  	51	37	3	7	30	6
Malmsheim		122.200				1.476 ft 					48,78  	8,92  	48	46	58	8	55	6
Malsch		129.975				420 ft 					49,24  	8,68  	49	14	14	8	40	42
Manching		122.100				1.200 ft 					48,72  	11,53  	48	42	55	11	32	2
Markdorf		123.350				1.394 ft 					47,71  	9,39  	47	42	22	9	23	18
Marpingen		123.475				1.181 ft 					49,45  	7,04  	49	27	11	7	2	21
Meiersberg		130.125				479 ft 					51,30  	6,96  	51	17	56	6	57	27
Menden Barge		123.500				676 ft 					51,45  	7,83  	51	27	0	7	49	57
Michelbach Am Asp		123.375				987 ft 					50,22  	8,07  	50	13	13	8	4	12
Möcksmühl Korb		129.975				1.112 ft 					49,34  	9,40  	49	20	40	9	24	6
Mönchsheide		129.975				673 ft 					50,51  	7,26  	50	30	33	7	15	25
Montabaur		123.350				856 ft 					50,43  	7,83  	50	25	30	7	49	40
Mülben		130.125				1.690 ft 					49,45  	9,11  	49	27	11	9	6	20
Müllheim		129.975				955 ft 					47,82  	7,64  	47	49	17	7	38	25
Münsingen Eisbrg		123.500				2.379 ft 					48,41  	9,44  	48	24	34	9	26	28
Musbach		130.125				2.280 ft 					48,50  	8,48  	48	30	10	8	28	42
Nastätten		130.125				1.201 ft 					50,20  	7,20  	50	11	50	7	11	50
Neresheim		130.125				1.774 ft 					48,74  	10,33  	48	44	29	10	19	32
Neuburg-Zell		129.850				1.246 ft 					48,71  	11,21  	48	42	40	11	12	42
Neu-Gülze		123.500				39 ft 					53,38  	10,81  	53	22	54	10	48	18
Neunkirchen Bexba		123.050				892 ft 					49,34  	7,27  	49	20	7	7	15	57
Nidda Auf D Helms		123.375				545 ft 					50,40  	8,98  	50	23	56	8	58	56
Oberems		123.350				1.312 ft 					50,24  	8,40  	50	14	36	8	23	52
Oberhinkofen		122.300				1.299 ft 					48,95  	12,14  	48	56	56	12	8	34
Ochsenhausen		123.500				2.133 ft 					48,05  	9,92  	48	3	11	9	54	56
Oppershausen		122.475				141 ft 					52,60  	10,22  	52	35	46	10	13	19
Oppingen Au		123.150				2.231 ft 					48,56  	9,82  	48	33	19	9	49	17
Osterholz Scharmb		130.125				7 ft 					53,21  	8,81  	53	12	50	8	48	38
Ottenberg		123.500	123.350			1.837 ft 					49,33  	11,47  	49	19	41	11	28	26
Öventrop		123.350				692 ft 					51,40  	8,15  	51	23	45	8	8	52
Paterzell		123.350				2.001 ft 					47,85  	11,06  	47	50	57	11	3	43
Peine Glindbruch		123.350				230 ft 					52,32  	10,18  	52	19	26	10	10	59
Peissenberg Fendt		123.500				1.988 ft 					47,83  	11,07  	47	49	57	11	4	0
Perleberg		122.300				98 ft 					53,07  	11,82  	53	4	13	11	49	6
Pfingstweide		123.475				1.083 ft 					50,44  	8,63  	50	26	10	8	37	30
Pitzwalk		123.500				289 ft 					53,20  	12,16  	53	11	45	12	9	53
Plätzer		123.500				1.115 ft 					50,71  	9,73  	50	42	30	9	43	56
Pleidelsheim		123.500				617 ft 					48,95  	9,19  	48	56	56	9	11	18
Pohlheim Viehheid		123.150				774 ft 					50,53  	8,74  	50	31	56	8	44	8
Poltringen Ammerbu		123.050				1.316 ft 					48,55  	8,94  	48	32	49	8	56	41
Quakenbrück		122.300	123.350			82 ft 					52,66  	7,92  	52	39	50	7	55	16
Radevormwald Leye		123.475				1.276 ft 					51,22  	7,38  	51	12	59	7	22	57
Rammertshof		123.500	123.350			1.260 ft 					49,44  	11,81  	49	26	21	11	48	23
Reinheim		123.475				509 ft 					49,84  	8,85  	49	50	21	8	50	56
Reiselfingen		123.000				2.421 ft 					47,85  	8,37  	47	51	7	8	22	20
