PR_IDENT	ICAO	LEVEL	START_NAME	DEST_NAME	ACFT_TYPE	ACFT_SPEED	UPPER_ALT	LOWER_ALT	EFFE_TIME1	EFFE_TIME2	EFFE_TIME3	CYCLE_DATE	STRT_ICAO	DEST_ICAO
KZ00562	KZ	L	DETROIT METRO AREA	WASHINGTON NATL			17000	6000	11000300			200503	KDTW	KDCA
KZ00563	KZ	L	DETROIT METRO AREA	WESTCHESTER			17000	6000	11000300			200503	KDTW	KHPN
KZ00564	KZ	L	DETROIT METRO AREA	WESTCHESTER	P	-250	17000	6000	11000300			200503	KDTW	KHPN
KZ00565	KZ	H	FORT LAUDERDALE METRO AREA	DETROIT SATELLITES					10000300			200503	KFLL	KDTW
KZ00567	KZ	H	FORT LAUDERDALE METRO AREA	GAINESVILLE					10300300			200503	KFLL	KGNV
KZ00568	KZ	H	FORT LAUDERDALE METRO AREA	GAINESVILLE					10300300			200503	KFLL	KGNV
KZ00569	KZ	H	FORT LAUDERDALE METRO AREA	GEORGE BUSH INTCNTL/HOUSTON					10000300			200503	KFLL	KIAH
KZ00570	KZ	H	FORT LAUDERDALE METRO AREA	GEORGE BUSH INTCNTL/HOUSTON					10000300			200503	KFLL	KIAH
KZ00571	KZ	H	FORT LAUDERDALE METRO AREA	HOUSTON HOBBY					10000300			200503	KFLL	KHOU
KZ00572	KZ	H	FORT LAUDERDALE METRO AREA	HOUSTON HOBBY					10000300			200503	KFLL	KHOU
KZ00573	KZ	H	FORT LAUDERDALE METRO AREA	INDIANAPOLIS					10000300			200503	KFLL	KIND
KZ00574	KZ	H	FORT LAUDERDALE METRO AREA	JACKSONVILLE					10300300			200503	KFLL	KJAX
KZ00575	KZ	H	FORT LAUDERDALE METRO AREA	KENNEDY			FL290		10000300			200512	KFLL	KJFK
KZ00576	KZ	H	FORT LAUDERDALE METRO AREA	KENNEDY			FL600	FL330	10000300			200512	KFLL	KJFK
KZ00577	KZ	H	FORT LAUDERDALE METRO AREA	KENNEDY	W				10000300			200511	KFLL	KJFK
KZ00578	KZ	H	FORT LAUDERDALE METRO AREA	LA GUARDIA			FL290		10000300			200512	KFLL	KLGA
KZ00579	KZ	H	FORT LAUDERDALE METRO AREA	LA GUARDIA			FL600	FL330	10000300			200503	KFLL	KLGA
KZ00580	KZ	H	FORT LAUDERDALE METRO AREA	LA GUARDIA	W				10000300			200511	KFLL	KLGA
KZ00583	KZ	H	FORT LAUDERDALE METRO AREA	LOUISVILLE					10000300			200503	KFLL	KSDF
KZ00584	KZ	H	FORT LAUDERDALE METRO AREA	MELBOURNE					10300300			200503	KFLL	KMLB
KZ00585	KZ	H	FORT LAUDERDALE METRO AREA	MINNEAPOLIS					10000300			200503	KFLL	KMSP
KZ00586	KZ	H	FORT LAUDERDALE METRO AREA	NASHVILLE					10000300			200503	KFLL	KBNA
KZ00587	KZ	H	FORT LAUDERDALE METRO AREA	NEWARK			FL290		10000300			200503	KFLL	KEWR
KZ00588	KZ	H	FORT LAUDERDALE METRO AREA	NEWARK			FL600	FL330	10000300			200503	KFLL	KEWR
KZ00589	KZ	H	FORT LAUDERDALE METRO AREA	NEWARK	W				10000300			200511	KFLL	KEWR
KZ00591	KZ	H	FORT LAUDERDALE METRO AREA	NEW ORLEANS					10000300			200503	KFLL	KMSY
KZ00592	KZ	H	FORT LAUDERDALE METRO AREA	OCALA REG/JIM TAYLOR FLD					10300300			200503	KFLL	KOCF
KZ00593	KZ	H	FORT LAUDERDALE METRO AREA	OCALA REG/JIM TAYLOR FLD					10300300			200503	KFLL	KOCF
KZ00594	KZ	H	FORT LAUDERDALE METRO AREA	ORLANDO					10300300			200503	KFLL	KMCO
KZ00595	KZ	L	FORT LAUDERDALE METRO AREA	CROSS CITY			5000		10300300			200601	KFLL	KCTY
KZ00596	KZ	L	FORT LAUDERDALE METRO AREA	CROSS CITY			17000	6000	10300300			200503	KFLL	KCTY
KZ00597	KZ	L	FORT LAUDERDALE METRO AREA	DAYTONA BEACH			10000		10300300			200601	KFLL	KDAB
KZ00598	KZ	L	FORT LAUDERDALE METRO AREA	DAYTONA BEACH			17000	11000	10300300			200503	KFLL	KDAB
KZ00599	KZ	L	FORT LAUDERDALE METRO AREA	FORT MYERS			17000	6000	10300300			200503	KFLL	KFMY
KZ00600	KZ	L	FORT LAUDERDALE METRO AREA	FORT MYERS			5000		10300300			200601	KFLL	KFMY
KZ00601	KZ	L	FORT LAUDERDALE METRO AREA	FORT PIERCE			10000		10300300			200601	KFLL	KFPR
KZ00602	KZ	L	FORT LAUDERDALE METRO AREA	FORT PIERCE			17000	11000	10300300			200503	KFLL	KFPR
KZ00603	KZ	L	FORT LAUDERDALE METRO AREA	GAINESVILLE			5000		10300300			200601	KFLL	KGNV
KZ00604	KZ	L	FORT LAUDERDALE METRO AREA	GAINESVILLE			17000	6000	10300300			200503	KFLL	KGNV
KZ00605	KZ	L	FORT LAUDERDALE METRO AREA	JACKSONVILLE			9000		10300300			200601	KFLL	KJAX
KZ00606	KZ	L	FORT LAUDERDALE METRO AREA	JACKSONVILLE			11000		10300300			200601	KFLL	KJAX
KZ00607	KZ	L	FORT LAUDERDALE METRO AREA	JACKSONVILLE			17000	13000	10300300			200601	KFLL	KJAX
KZ00608	KZ	L	FORT LAUDERDALE METRO AREA	LAKELAND			17000	6000	10300300			200601	KFLL	KLAL
KZ00609	KZ	L	FORT LAUDERDALE METRO AREA	LAKELAND			5000		10300300			200601	KFLL	KLAL
KZ00610	KZ	L	FORT LAUDERDALE METRO AREA	MELBOURNE			10000		10300300			200601	KFLL	KMLB
KZ00611	KZ	L	FORT LAUDERDALE METRO AREA	MELBOURNE			17000	11000	10300300			200601	KFLL	KMLB
KZ00612	KZ	L	FORT LAUDERDALE METRO AREA	OCALA			5000		10300300			200601	KFLL	KOCF
KZ00613	KZ	L	FORT LAUDERDALE METRO AREA	OCALA			17000	6000	10300300			200601	KFLL	KOCF
KZ00614	KZ	L	FORT LAUDERDALE METRO AREA	ORLANDO			10000		10300300			200601	KFLL	KMCO
KZ00615	KZ	L	FORT LAUDERDALE METRO AREA	ORLANDO			17000	11000	10300300			200601	KFLL	KMCO
KZ00616	KZ	L	FORT LAUDERDALE METRO AREA	SARASOTA-BRADENTON			5000		10300300			200601	KFLL	KSRQ
KZ00617	KZ	L	FORT LAUDERDALE METRO AREA	SARASOTA-BRADENTON			17000	6000	10300300			200601	KFLL	KSRQ
